Time:1Hz,Epoch,F3,F4,C3,Cz,C4,P3,P4,O1,O2,Event Id,Event Date,Event Duration
0.0000000000,0,5.4362181409,6.7156215261,2.1062715058,1.2157258693,2.4496113324,1.4229248124,2.4764511670,4.9126907346,4.9901868398,,,
0.0625000000,1,6.9225068982,9.5274363040,2.1200875716,1.2558524737,2.5337098685,1.7297695110,2.6716613449,6.5230554900,6.2444843225,,,
0.1250000000,2,8.7649637132,12.3151322908,2.1261248859,1.2765203971,2.6155661081,2.0224381318,2.9554296330,8.1345519234,7.6525529327,,,
0.1875000000,3,9.9172388969,14.1224622661,2.1225927453,1.2923923216,2.6188955545,2.1429488977,3.2286395968,8.9614828539,8.4244927558,,,
0.2500000000,4,10.4255098418,15.1200651153,2.1077455210,1.2702829445,2.5327534316,2.1714957819,3.3915234607,9.2551722179,8.7656597274,,,
0.3125000000,5,10.6263266725,15.6242543575,2.0634575168,1.1604322530,2.3764032370,2.2012751068,3.3979528082,9.2611407417,8.8330944530,,,
0.3750000000,6,10.7435795845,15.8544332682,1.9866597826,1.0177241773,2.1094338260,2.2308226589,3.2910934261,9.0040103224,8.6466734951,,,
0.4375000000,7,11.0255445214,16.0363363704,1.8588262841,0.9706246414,1.8962809004,2.2953417602,3.1864387348,8.7252182636,8.4191199428,,,
0.5000000000,8,11.3054111005,16.1663543677,1.5784573277,1.0134308013,1.7802884791,2.3335877502,3.0342053986,8.6569618019,8.2888213955,,,
0.5625000000,9,11.2663857501,16.2540276846,1.2450481591,1.0362551140,1.4947521896,2.2151773093,2.7912441292,8.6281009869,8.1400496828,,,
0.6250000000,10,10.9212458181,16.1247378854,0.9389824305,0.9698556945,1.0826111762,1.8911019835,2.5706689571,8.3697804286,7.9764726670,,,
0.6875000000,11,10.6451439037,15.7276966024,0.8256357614,0.9191163994,0.8336367591,1.6500185056,2.5345882341,7.7481900822,7.7293281443,,,
0.7500000000,12,10.3689907717,15.1754794151,0.7982494860,0.8772316428,0.6980325877,1.5373759970,2.5326198716,6.9634936880,7.2185623280,,,
0.8125000000,13,9.7603895489,14.7159426740,0.6502230173,0.9157339225,0.7846544634,1.4806399865,2.3396373797,6.5558481062,6.7630754039,,,
0.8750000000,14,8.9379859355,13.8158058765,0.5222256331,0.9550757041,1.0161512258,1.4005921967,1.9943582031,6.3081439389,6.2799721963,,,
0.9375000000,15,8.7734386516,12.1417614510,0.5962631643,0.8911895737,1.2282035637,1.3104069722,1.7738615328,5.9026379494,5.8431167971,,,
1.0000000000,16,8.4254490465,10.1269920881,0.7122606238,0.8519196530,1.3060342820,1.1792508132,1.6293958970,5.0799445219,5.3672101103,,,
1.0625000000,17,7.0593209963,7.5368982800,0.7570581524,0.8387434559,1.2643671396,0.9086487863,1.4417673788,3.4786078784,4.3472795684,,,
1.1250000000,18,5.5129810667,4.8904775819,0.7800433465,0.8315148431,1.2251379335,0.6445122214,1.2317528170,1.8932262682,2.9944597951,,,
1.1875000000,19,5.6038299787,3.5217732822,0.8542061787,0.8237946253,1.2644967924,0.5631392655,1.2572089769,1.2645081106,2.5416024905,,,
1.2500000000,20,7.6804314504,3.5103762651,0.9405766830,0.8261146642,1.3469768428,0.6262849673,1.5336672000,1.4299891897,3.0440331416,,,
1.3125000000,21,10.4754790283,4.5975295797,0.9965068073,0.8364195877,1.3865851210,0.7243785960,1.9981427311,1.9862676471,4.3051393332,,,
1.3750000000,22,11.6385450201,5.6168762212,0.9839884181,0.8107155860,1.5646986119,0.8925987778,2.1738199455,2.6727572249,5.3883530608,,,
1.4375000000,23,11.6664484326,5.9897507795,0.9753269578,0.7380676784,2.0615211440,1.2220988881,2.1833125675,3.3263558098,5.6651341031,,,
1.5000000000,24,11.7854164569,5.9919816513,1.0338599009,0.6160249952,2.4215304083,1.4392773955,2.2811552210,3.5364048960,5.6692971658,,,
1.5625000000,25,12.2546355615,6.1243815614,1.1036429048,0.5422156727,2.6610654630,1.4708355536,2.5198436922,3.5530248094,5.8707050400,,,
1.6250000000,26,12.6853970321,6.7318633738,1.0969291481,0.5723882628,2.7239665595,1.4653029303,2.7874141310,3.6408894008,6.2730828358,,,
1.6875000000,27,12.8654030026,7.2841955702,1.0399538076,0.5871379666,2.7545239060,1.4387718438,2.9637620849,3.7373604534,6.5255384729,,,
1.7500000000,28,12.8229186866,7.3891378565,0.9572271713,0.5290903732,2.7368345472,1.4087752497,2.9568838608,3.8878101351,6.4044080280,,,
1.8125000000,29,12.6951001357,7.3890670243,0.8969236094,0.4133834724,2.6239957824,1.4089264878,2.8905352867,4.0523401854,6.1012412184,,,
1.8750000000,30,12.5430243113,7.4514943581,0.8765749452,0.3311705388,2.3995944898,1.4268932684,2.8305080728,4.1838545469,6.0714163005,,,
1.9375000000,31,12.3268224470,7.5044388821,0.7807205824,0.3480031155,2.2283262060,1.4448883410,2.8155093959,4.4407690038,6.3356812527,,,
2.0000000000,32,12.4448279920,7.3715738878,0.6610682686,0.3937452795,2.2088718592,1.4536039745,2.8723012939,4.6867900358,6.7024233577,,,
2.0625000000,33,12.8083637865,7.1805291551,0.6369388515,0.4134803007,2.2084483584,1.4438391036,2.9521001218,4.7710032947,6.8078840713,,,
2.1250000000,34,12.8703943058,7.0379907716,0.6735097597,0.4913025421,2.3044056563,1.4592015205,2.9756698063,4.7677806175,6.8966090518,,,
2.1875000000,35,11.8252834780,6.6412591227,0.6216883530,0.5982275799,2.3764460111,1.4572852071,2.7202293111,4.6184165474,6.6088389978,,,
2.2500000000,36,9.4511653595,5.7828240606,0.5372797716,0.6350246529,2.4130724103,1.3976748360,2.2777095545,4.1917944692,5.7219602318,,,
2.3125000000,37,6.6653265135,4.2606547770,0.4993968734,0.6148406696,2.4998471263,1.2682126361,1.7979637143,3.4892122737,4.2525361969,,,
2.3750000000,38,5.5031787825,3.0042617506,0.5289970007,0.5896373251,2.4784148719,1.0748981661,1.6853791159,2.7336537387,3.0760980110,,,
2.4375000000,39,5.1802220174,2.4332755066,0.5365811050,0.5764603040,2.0883459495,0.7193340091,1.7355551343,2.0664710275,2.7739744183,,,
2.5000000000,40,4.6882448670,2.3814158096,0.4765698762,0.5813688882,1.6631068262,0.4895667787,1.6340379256,1.8465522784,2.7612443878,,,
2.5625000000,41,4.1301665994,2.4736708716,0.4124222813,0.5743279684,1.3961312404,0.4690197321,1.4255112228,1.8660015251,2.6530371499,,,
2.6250000000,42,3.9828906208,2.3165141439,0.4111418949,0.5770541980,1.3777775159,0.4865308264,1.2508112962,1.9859836335,2.5196671787,,,
2.6875000000,43,4.3807001929,2.2290897882,0.4437490201,0.6020330313,1.4602727456,0.5016100337,1.2297412338,2.2397590788,2.5993620365,,,
2.7500000000,44,5.0329730459,2.4851987193,0.4935509019,0.6093384285,1.5589045382,0.5106789532,1.4069755020,2.3359959492,3.0333071645,,,
2.8125000000,45,5.8057633911,2.8059175601,0.5801295334,0.6131517718,1.6558757450,0.5113247182,1.6750971816,2.2443211638,3.7003211405,,,
2.8750000000,46,6.5506884210,3.1456717320,0.6737826314,0.6102745573,1.7083633202,0.4875426798,1.9877127960,2.1914685402,4.3102776590,,,
2.9375000000,47,6.9693491683,3.5155499025,0.7011817500,0.6172358103,1.6916204141,0.4499089762,2.1923586839,2.1747768690,4.5110923375,,,
3.0000000000,48,7.2467689376,4.1624926131,0.7122606710,0.6353202454,1.6131375185,0.4407930962,2.3384692560,2.3815714545,4.4748380613,,,
