Time:1Hz,Epoch,F4,Event Id,Event Date,Event Duration
0.0000000000,0,0.9348957275,,,
0.0625000000,1,0.7083909399,,,
0.1250000000,2,0.5516090194,,,
0.1875000000,3,0.4850359567,,,
0.2500000000,4,0.4409601981,,,
0.3125000000,5,0.4101092575,,,
0.3750000000,6,0.3943350680,,,
0.4375000000,7,0.4082996260,,,
0.5000000000,8,0.4013770089,,,
0.5625000000,9,0.3666492439,,,
0.6250000000,10,0.3677908621,,,
0.6875000000,11,0.4231942149,,,
0.7500000000,12,0.4415255143,,,
0.8125000000,13,0.4534542086,,,
0.8750000000,14,0.5218259229,,,
0.9375000000,15,0.5473296528,,,
1.0000000000,16,0.7788830826,,,
1.0625000000,17,0.9905528426,,,
1.1250000000,18,1.5074052423,,,
1.1875000000,19,2.0120262979,,,
1.2500000000,20,1.6582022143,,,
1.3125000000,21,1.2628207455,,,
1.3750000000,22,1.0830763954,,,
1.4375000000,23,1.0257068314,,,
1.5000000000,24,1.0380163221,,,
1.5625000000,25,1.0677181453,,,
1.6250000000,26,1.0263245600,,,
1.6875000000,27,0.9210513245,,,
1.7500000000,28,0.8913920356,,,
1.8125000000,29,0.8573620764,,,
1.8750000000,30,0.7929481423,,,
1.9375000000,31,0.7500359794,,,
2.0000000000,32,0.6014590394,,,
2.0625000000,33,0.5904470348,,,
2.1250000000,34,0.5607833619,,,
2.1875000000,35,0.4551358899,,,
2.2500000000,36,0.5523804525,,,
2.3125000000,37,0.7442133242,,,
2.3750000000,38,0.9839279141,,,
2.4375000000,39,1.2277078287,,,
2.5000000000,40,1.3279817495,,,
2.5625000000,41,1.3103247252,,,
2.6250000000,42,1.3570457893,,,
2.6875000000,43,1.3343897533,,,
2.7500000000,44,1.1796218171,,,
2.8125000000,45,1.0287239961,,,
2.8750000000,46,0.9100178137,,,
2.9375000000,47,0.8299183400,,,
3.0000000000,48,0.7280797505,,,
3.0625000000,49,0.6758878938,,,
3.1250000000,50,0.6027859037,,,
3.1875000000,51,0.6061681289,,,
3.2500000000,52,0.5949550549,,,
3.3125000000,53,0.6373289994,,,
3.3750000000,54,0.6201523974,,,
3.4375000000,55,0.5962243326,,,
3.5000000000,56,0.6074999284,,,
3.5625000000,57,0.5969713193,,,
3.6250000000,58,0.6012086813,,,
3.6875000000,59,0.6387245438,,,
3.7500000000,60,0.6499318234,,,
3.8125000000,61,0.6938291853,,,
3.8750000000,62,0.7351338887,,,
3.9375000000,63,0.7951498556,,,
4.0000000000,64,0.9159375643,,,
4.0625000000,65,1.2280228995,,,
4.1250000000,66,1.3123552138,,,
4.1875000000,67,1.3125025702,,,
4.2500000000,68,1.2762662442,,,
4.3125000000,69,1.2298049811,,,
4.3750000000,70,1.2181527340,,,
4.4375000000,71,1.1483756499,,,
4.5000000000,72,1.1400822882,,,
4.5625000000,73,1.0058304691,,,
4.6250000000,74,0.8182021084,,,
4.6875000000,75,0.7248515684,,,
4.7500000000,76,0.6384996942,,,
4.8125000000,77,0.5930027822,,,
4.8750000000,78,0.6003902425,,,
4.9375000000,79,0.6154245226,,,
5.0000000000,80,0.5985305751,,,
5.0625000000,81,0.4933760332,,,
5.1250000000,82,0.4775644427,,,
5.1875000000,83,0.4563607022,,,
5.2500000000,84,0.4311759151,,,
5.3125000000,85,0.4469704642,,,
5.3750000000,86,0.4603303970,,,
5.4375000000,87,0.4317277029,,,
5.5000000000,88,0.4409914901,,,
5.5625000000,89,0.5868164165,,,
5.6250000000,90,0.7374597873,,,
5.6875000000,91,0.7781899470,,,
5.7500000000,92,0.9047697719,,,
5.8125000000,93,1.0221269304,,,
5.8750000000,94,1.0964349757,,,
5.9375000000,95,1.2029852125,,,
6.0000000000,96,1.3399914357,,,
6.0625000000,97,1.5829417060,,,
6.1250000000,98,1.8577677373,,,
6.1875000000,99,2.2339611227,,,
6.2500000000,100,2.2992526180,,,
6.3125000000,101,2.2859531057,,,
6.3750000000,102,2.3741799762,,,
6.4375000000,103,2.6544557425,,,
6.5000000000,104,2.9395126869,,,
6.5625000000,105,2.9239640126,,,
