Time:1Hz,Epoch,F4
0,0,0.934895728
0.0625,1,0.70839094
0.125,2,0.551609019
0.1875,3,0.485035957
0.25,4,0.440960198
0.3125,5,0.410109258
0.375,6,0.394335068
0.4375,7,0.408299626
0.5,8,0.401377009
0.5625,9,0.366649244
0.625,10,0.367790862
0.6875,11,0.423194215
0.75,12,0.441525514
0.8125,13,0.453454209
0.875,14,0.521825923
0.9375,15,0.547329653
1,16,0.778883083
1.0625,17,0.990552843
1.125,18,1.507405242
1.1875,19,2.012026298
1.25,20,1.658202214
1.3125,21,1.262820746
1.375,22,1.083076395
1.4375,23,1.025706831
1.5,24,1.038016322
1.5625,25,1.067718145
1.625,26,1.02632456
1.6875,27,0.921051325
1.75,28,0.891392036
1.8125,29,0.857362076
1.875,30,0.792948142
1.9375,31,0.750035979
2,32,0.601459039
2.0625,33,0.590447035
2.125,34,0.560783362
2.1875,35,0.45513589
2.25,36,0.552380453
2.3125,37,0.744213324
2.375,38,0.983927914
2.4375,39,1.227707829
2.5,40,1.32798175
2.5625,41,1.310324725
2.625,42,1.357045789
2.6875,43,1.334389753
2.75,44,1.179621817
2.8125,45,1.028723996
2.875,46,0.910017814
2.9375,47,0.82991834
3,48,0.728079751
3.0625,49,0.675887894
3.125,50,0.602785904
3.1875,51,0.606168129
3.25,52,0.594955055
3.3125,53,0.637328999
3.375,54,0.620152397
3.4375,55,0.596224333
3.5,56,0.607499928
3.5625,57,0.596971319
3.625,58,0.601208681
3.6875,59,0.638724544
3.75,60,0.649931823
3.8125,61,0.693829185
3.875,62,0.735133889
3.9375,63,0.795149856
4,64,0.915937564
4.0625,65,1.2280229
4.125,66,1.312355214
4.1875,67,1.31250257
4.25,68,1.276266244
4.3125,69,1.229804981
4.375,70,1.218152734
4.4375,71,1.14837565
4.5,72,1.140082288
4.5625,73,1.005830469
4.625,74,0.818202108
4.6875,75,0.724851568
4.75,76,0.638499694
4.8125,77,0.593002782
4.875,78,0.600390243
4.9375,79,0.615424523
5,80,0.598530575
5.0625,81,0.493376033
5.125,82,0.477564443
5.1875,83,0.456360702
5.25,84,0.431175915
5.3125,85,0.446970464
5.375,86,0.460330397
5.4375,87,0.431727703
5.5,88,0.44099149
5.5625,89,0.586816417
5.625,90,0.737459787
