Time:1Hz,Epoch,F4,Event Id,Event Date,Event Duration
5.625,90,0.737459787,,,
5.6875,91,0.778189947,,,
5.75,92,0.904769772,,,
5.8125,93,1.02212693,,,
5.875,94,1.096434976,,,
5.9375,95,1.202985213,,,
6,96,1.339991436,,,
6.0625,97,1.582941706,,,
6.125,98,1.857767737,,,
6.1875,99,2.233961123,,,
6.25,100,2.299252618,,,
6.3125,101,2.285953106,,,
6.375,102,2.374179976,,,
6.4375,103,2.654455743,,,
6.5,104,2.939512687,,,
6.5625,105,2.923964013,,,
6.625,106,2.974278625,,,
6.6875,107,3.61318788,,,
6.75,108,2.571761206,,,
6.8125,109,1.542951233,,,
6.875,110,1.232212732,,,
6.9375,111,1.076339086,,,
7,112,1.052709501,,,
7.0625,113,0.906139561,,,
7.125,114,0.734678556,,,
7.1875,115,0.515107541,,,
7.25,116,0.49717722,,,
7.3125,117,0.683621477,,,
7.375,118,0.792082143,,,
7.4375,119,0.739756024,,,
7.5,120,0.619109785,,,
7.5625,121,0.524058287,,,
7.625,122,0.49232227,,,
7.6875,123,0.459617361,,,
7.75,124,0.50226885,,,
7.8125,125,0.570195056,,,
7.875,126,0.577070624,,,
7.9375,127,0.580594036,,,
8,128,0.679827839,,,
8.0625,129,0.661037206,,,
8.125,130,0.592637613,,,
8.1875,131,0.511860268,,,
8.25,132,0.480580794,,,
8.3125,133,0.375834273,,,
8.375,134,0.306018252,,,
8.4375,135,0.303804842,,,
8.5,136,0.375589757,,,
8.5625,137,0.442353904,,,
8.625,138,0.448992538,,,
8.6875,139,0.400157939,,,
8.75,140,0.405910294,,,
8.8125,141,0.447587902,,,
8.875,142,0.442581596,,,
8.9375,143,0.4201504,,,
9,144,0.352569214,,,
9.0625,145,0.363254225,,,
9.125,146,0.414421051,,,
9.1875,147,0.541255841,,,
9.25,148,0.583834866,,,
9.3125,149,0.578472279,,,
9.375,150,0.593338913,,,
9.4375,151,0.58866833,,,
9.5,152,0.538521407,,,
9.5625,153,0.52162454,,,
9.625,154,0.541694379,,,
9.6875,155,0.633307909,,,
9.75,156,0.653145012,,,
9.8125,157,0.59811908,,,
9.875,158,0.680322473,,,
9.9375,159,0.803435873,,,
10,160,0.92835073,,,
10.0625,161,1.03640763,,,
10.125,162,1.25375237,,,
10.1875,163,1.16095701,,,
10.25,164,1.089724746,,,
10.3125,165,0.988146489,,,
10.375,166,0.989770234,,,
10.4375,167,0.99205516,,,
10.5,168,0.96197649,,,
10.5625,169,1.008052638,,,
10.625,170,1.035508187,,,
10.6875,171,1.034283177,,,
10.75,172,1.028017052,,,
10.8125,173,1.013483844,,,
10.875,174,0.930898834,,,
10.9375,175,0.897311631,,,
11,176,0.807937822,,,
11.0625,177,0.786429792,,,
11.125,178,0.659410878,,,
11.1875,179,0.617840509,,,
11.25,180,0.64069879,,,
